index,title,article_url,date,time,author,excerpt,section,date_dt
123,Μαγικές εικόνες από την «Πόλη του Πάγου» της Κίνας - 260 γλυπτά από χιόνι μαγνητίζουν τα βλέμματα,https://www.athensvoice.gr/epikairotita/diethni/884067/magikes-eikones-apo-tin-poli-tou-pagou-tis-kinas-260-glupta-apo-hioni-magnitizoun-ta-vlemmata/,2024-12-29,10:40:50,Newsroom,Ουρανοξύστες και ναοί φτιαγμένοι από πάγο στο Χαρμπίν στην Κίνα - Το πάρκο έχει έκταση ενός εκατομμυρίου τετραγωνικών μέτρων,Κοσμος,2024-12-29
124,Καζακστάν: Η Azerbaijan Airlines ανακοίνωσε ότι διακόπτει τις πτήσεις προς επτά ρωσικές πόλεις,https://www.athensvoice.gr/epikairotita/diethni/883898/kazakstan-i-azerbaijan-airlines-anakoinose-oti-diakoptei-tis-ptiseis-pros-epta-rosikes-poleis/,2024-12-27,11:26:13,Newsroom,Καζακστάν: Η Azerbaijan Airlines ανακοίνωσε ότι διακόπτει τις πτήσεις προς επτά ρωσικές πόλεις - Φόβοι για την ασφάλεια των πτήσεων,Κοσμος,2024-12-27
125,Η Ρωσία ξεκίνησε τη χρήση bitcoin για να αντιμετωπίσει τις δυτικές κυρώσεις,https://www.athensvoice.gr/epikairotita/diethni/883769/rosia-xekinise-ti-hrisi-bitcoin-gia-na-adimetopisei-tis-dutikes-kuroseis/,2024-12-25,15:02:24,Newsroom,Ο Ρώσος Πρόεδρος Βλαντιμίρ Πούτιν δήλωσε ότι κανείς στον κόσμο δεν θα μπορούσε να ρυθμίσει το bitcoin,Κοσμος,2024-12-25
126,Podcast 40+ | Ποιες είναι οι ιδανικές γιορτές για σένα;,https://look.athensvoice.gr/look/opinions/883176/podcast-40-poies-einai-oi-idanikes-giortes-gia-sena/,2024-12-22,10:19:13,Μανίνα Ζουμπουλάκη - Ελένη Ψυχούλη,,Opinion,2024-12-22
127,Titania: Μαγικές γιορτές με θέα τη στολισμένη Αθήνα,https://www.athensvoice.gr/life/geusi/themata/882989/titania-magikes-giortes-me-thea-ti-stolismeni-athina/,2024-12-20,16:17:06,A.V. Team,Titania: αξέχαστες γιορτές σε ένα από τα πιο εμβληματικά ξενοδοχεία της πόλης,Θεματα,2024-12-20
128,Μιλένα Αποστολάκη προς Τάκη Θεοδωρικάκο: Μαζικές ακυρώσεις ιδιωτικών συμβολαίων υγείας,https://www.athensvoice.gr/epikairotita/politiki-oikonomia/882894/milena-apostolaki-pros-taki-theodorikako-mazikes-akuroseis-idiotikon-sumvolaion-ugeias/,2024-12-19,10:11:59,Newsroom,Μιλένα Αποστολάκη προς Τάκη Θεοδωρικάκο: Μαζικές ακυρώσεις ιδιωτικών συμβολαίων υγείας,Πολιτικη & Οικονομια,2024-12-19
129,Πόσο αυξήθηκαν οι πυρκαγιές το 2024 - Η ανασκόπηση της αντιπυρικής περιόδου,https://www.athensvoice.gr/life/perivallon/882582/poso-auxithikan-oi-purkagies-to-2024-i-anaskopisi-tis-adipurikis-periodou/,2024-12-17,18:12:54,Newsroom,Πόσο αυξήθηκαν οι πυρκαγιές το 2024 - Η ανασκόπηση της αντιπυρικής περιόδου από το Εθνικό Αστεροσκοπείο Αθηνών και το WWF Ελλάς,Περιβαλλον,2024-12-17
130,Μητσοτάκης: Μηδενίζονται οι χρεώσεις για βασικές τραπεζικές κινήσεις - Αναλυτικά όλα τα μέτρα,https://www.athensvoice.gr/epikairotita/politiki-oikonomia/882184/ta-pede-metra-pou-anakoinose-o-kuriakos-mitsotakis-gia-tis-trapezes/,2024-12-16,07:52:00,Newsroom,Οι ανακοινώσεις του Κυριάκου Μητσοτάκη για τις τράπεζες: Όλες οι χρεώσεις για βασικές τραπεζικές κινήσεις μηδενίζονται,Πολιτικη & Οικονομια,2024-12-16
131,Ανασκόπηση 2024: Οι μεγαλύτερες φυσικές καταστροφές της χρονιάς σε 24 εικόνες,https://www.athensvoice.gr/epikairotita/diethni/879329/anaskopisi-2024-oi-megaluteres-fusikes-katastrofes-tis-hronias-se-24-eikones/,2024-12-10,05:51:44,Γεωργία Ζερβογιάννη,Ανασκόπηση 2024: Οι μεγαλύτερες φυσικές καταστροφές της χρονιάς στον κόσμο - Δείτε τι συνέβη φέτος,Κοσμος,2024-12-10
132,"Άμα Λάχει: Η αγαπημένη μας αυλή και αυτόν τον χειμώνα, με νέες και κλασικές προτάσεις",https://www.athensvoice.gr/life/geusi/resto/879595/ama-lahei-i-agapimeni-mas-auli-kai-auton-ton-heimona-me-nees-kai-klasikes-protaseis/,2024-12-01,11:25:52,A.V. Team,,Resto,2024-12-01
133,Ουκρανία: Οι ρωσικές δυνάμεις προελαύνουν με τον γρηγορότερο ρυθμό από την έναρξη του πολέμου,https://www.athensvoice.gr/epikairotita/diethni/879236/oukrania-oi-rosikes-dunameis-proelaunoun-me-ton-grigorotero-ruthmo-apo-tin-enarxi-tou-polemou/,2024-11-26,17:33:00,Newsroom,Ουκρανία: Οι ρωσικές δυνάμεις προελαύνουν με τον γρηγορότερο ρυθμό από την έναρξη του πολέμου,Κοσμος,2024-11-26
134,Λακωνία: Άνδρας εντοπίστηκε νεκρός μετά από πυρκαγιά σε εγκαταλελειμμένο κτήριο,https://www.athensvoice.gr/epikairotita/koinonia/878571/lakonia-andras-edopistike-nekros-meta-apo-purkagia-se-egataleleimmeno-ktirio/,2024-11-22,06:00:23,Newsroom,Λακωνία: Άνδρας εντοπίστηκε νεκρός μετά από πυρκαγιά σε εγκαταλελειμμένο κτήριο - Οι πρώτες πληροφορίες,Κοινωνια,2024-11-22
135,Το αντίο του Κώστα Μυλώση από τις «Δυτικές Συνοικίες» για τον θάνατο του Βασίλη Μαντζουράνη,https://www.athensvoice.gr/epikairotita/ellada/877928/to-adio-tou-kosta-mulosi-apo-tis-dutikes-sunoikies-gia-to-thanato-tou-vasili-madzourani/,2024-11-18,09:04:00,Newsroom,"Το αντίο του Κώστα Μυλώση από τις «Δυτικές Συνοικίες» για το θάνατο του Βασίλη Ματζουράνη - «Αποχαιρετώ τον καλύτερο μου φίλο, συμμαθητή, κουμπάρο και μουσικό συνοδοιπόρο συγκλονισμένος» αναφέρει στην ανάρτησή του",Ελλαδα,2024-11-18
136,O Βασίλης Μαντζουράνης από τις «Δυτικές Συνοικίες» ο 53χρονος που σκοτώθηκε σε τροχαίο στη Θεσσαλονίκη,https://www.athensvoice.gr/epikairotita/ellada/877839/o-vasilis-madzouranis-apo-tis-dutikes-sunoikies-o-53hronos-pou-skotothike-se-trohaio-sti-thessaloniki/,2024-11-17,12:00:00,Newsroom,Ο Βασίλης Μαντζουράνης ο νεκρός του τροχαίου της Θεσσαλονίκης - Είχε ιδρύσει το συγκρότημα «Δυτικές Συνοικίες» - Σκοτώθηκε ακαριαία ενώ μετέφερε τα παιδιά του και την παρέα τους σπίτι,Ελλαδα,2024-11-17
137,Γυναικοκτονίες: Μοιραίες οι αναβολές σε δίκες για ενδοοικογενειακή βία,https://www.athensvoice.gr/epikairotita/ellada/877670/gunaikoktonies-moiraies-oi-anavoles-se-dikes-gia-endooikogeneiaki-via/,2024-11-15,16:29:44,Newsroom,Γυναικοκτονίες: Οι χρονικές μεταθέσεις δικών για ενδοοικογενειακή βία προκαλούν τραγικά αποτελέσματα - Κλιμακώνουν τη δράση τους οι κακοποιητές,Ελλαδα,2024-11-15
138,Ισπανία: Τουλάχιστον δέκα νεκροί από πυρκαγιά σε γηροκομείο,https://www.athensvoice.gr/epikairotita/diethni/877589/ispania-toulahiston-deka-nekroi-apo-purkagia-se-girokomeio/,2024-11-15,08:48:07,Newsroom,"Ένας άνθρωπος είναι σε κρίσιμη κατάσταση, ενώ αρκετοί άλλοι αντιμετώπιζαν προβλήματα",Κοσμος,2024-11-15
139,Φυλλορροεί ο ΣΥΡΙΖΑ: Μαζικές παραιτήσεις στην Κεντρική Επιτροπή - Νέες βολές από τους ανεξάρτητους,https://www.athensvoice.gr/epikairotita/politiki-oikonomia/876911/fullorroei-o-suriza-mazikes-paraitiseis-se-kedriki-epitropi-kai-koinovouleutiki-omada/,2024-11-11,12:01:00,Newsroom,Φυλλορροεί ο ΣΥΡΙΖΑ: Μαζικές παραιτήσεις σε Κεντρική Επιτροπή και Κοινοβουλευτική Ομάδα - Στους 31 οι βουλευτές τού κόμματος - Νέες βολές από τους ανεξάρτητους,Πολιτικη & Οικονομια,2024-11-11
140,Θεσσαλόνικη: Πυροσβέστης έχασε τη ζωή του την ώρα που επιχειρούσε σε πυρκαγιά στο Λαγκαδά,https://www.athensvoice.gr/epikairotita/ellada/876815/thessaloniki-purosvestis-ehase-ti-zoi-tou-tin-ora-pou-epiheirouse-se-purkagia-sto-lagada/,2024-11-10,16:11:49,Newsroom,Θεσσαλόνικη: Πυροσβέστης έχασε τη ζωή του την ώρα που επιχειρούσε σε πυρκαγιά στο Λαγκαδά,Ελλαδα,2024-11-10
141,Ήχησαν οι καμπάνες της Παναγίας των Παρισίων πέντε χρόνια μετά την πυρκαγιά,https://www.athensvoice.gr/epikairotita/diethni/876620/ihisan-oi-kabanes-tis-panagias-ton-parision-pede-hronia-meta-tin-purkagia/,2024-11-08,12:19:13,Newsroom,Ήχησαν οι καμπάνες της Παναγίας των Παρισίων πέντε χρόνια μετά την πυρκαγιά - Πότε θα επαναλειτουργήσει ο ναός,Κοσμος,2024-11-08
142,Δανίκας: Μπροστά στον ΣΥΡΙΖΑ ο Μητσοτάκης είναι κομμουνιστής,https://www.athensvoice.gr/epikairotita/politiki-oikonomia/876566/danikas-brosta-ston-suriza-o-mitsotakis-einai-kommounistis/,2024-11-08,07:04:00,Newsroom,Δημήτρης Δανίκας: Πώς σχολιάζει τις εξελίξεις στον ΣΥΡΙΖΑ και την επανεκλογή Ανδρουλάκη στο ΠΑΣΟΚ,Πολιτικη & Οικονομια,2024-11-08
143,Β. Κικίλιας: Σε real time και μέσω application η εξέλιξη των πυρκαγιών,https://www.athensvoice.gr/epikairotita/politiki-oikonomia/876494/kikilias-se-real-time-kai-meso-application-i-exelixi-ton-purkagion/,2024-11-07,15:58:11,Newsroom,Ο Β. Κικίλιας έκανε ιδιαίτερη αναφορά στη δυνατότητα που θα έχουν οι πολίτες να ενημερώνονται real time για την εξέλιξη πυρκαγιών,Πολιτικη & Οικονομια,2024-11-07
144,"Αμπελόκηποι: Στη δημοσιότητα τα σχεδιαγράμματα, οι κουκούλες και οι μάσκες που βρήκε η ΕΛΑΣ",https://www.athensvoice.gr/epikairotita/ellada/875818/abelokipoi-sti-dimosiotita-ta-shediagrammata-oi-koukoules-kai-oi-maskes-pou-vrike-i-elas/,2024-11-04,16:49:27,Newsroom,"Έκρηξη στους Αμπελόκηπους: Όπλα, σχεδιαγράμματα, κουκούλες και μάσκες - Η επίσημη ανακοίνωση της ΕΛΑΣ",Ελλαδα,2024-11-04
145,Θέατρο Ολύμπια: Από κλασικές όπερες έως σύγχρονα μιούζικαλ,https://www.athensvoice.gr/politismos/theatro-opera/875381/theatro-olubia-apo-klasikes-operes-eos-sughrona-miouzikal/,2024-11-01,15:54:50,A.V. Team,Ολύμπια Δημοτικό Μουσικό Θέατρο - Μαρία Κάλλας: Ένα πλούσιο πρόγραμμα παραστάσεων που ενώνει παρελθόν και παρόν,Θεατρο - Οπερα,2024-11-01
146,ΟΠΕΚΕΠΕ: Στους λογαριασμούς αγροτών το 70% της προκαταβολής της Bασικής Eνίσχυσης,https://www.athensvoice.gr/epikairotita/politiki-oikonomia/874974/opekepe-stous-logariasmous-agroton-to-70-tis-prokatavolis-tis-basikis-enishusis/,2024-10-31,06:06:12,Newsroom,ΟΠΕΚΕΠΕ: Η ανακοίνωση για την πληρωμή σε αγρότες το 70% της προκαταβολής της Bασικής Eνίσχυσης,Πολιτικη & Οικονομια,2024-10-31
147,Σουδάν: Δυτικές κυβερνήσεις ζητούν να επιτραπεί να εισέλθει ανθρωπιστική βοήθεια,https://www.athensvoice.gr/epikairotita/diethni/873299/soudan-dutikes-kuverniseis-zitoun-na-epitrapei-na-eiselthei-anthropistiki-voitheia/,2024-10-19,20:08:00,Newsroom,Σουδάν: Δυτικές κυβερνήσεις ζητούν να επιτραπεί να εισέλθει ανθρωπιστική βοήθεια,Κοσμος,2024-10-19
148,Σαμαράς από Κύπρο: Άδικες και καταστροφικές οι λύσεις που «μαγειρεύονται» για Αιγαίο και Κυπριακό,https://www.athensvoice.gr/epikairotita/politiki-oikonomia/872895/samaras-apo-kupro-adikes-kai-katastrofikes-oi-luseis-pou-mageireuodai-gia-aigaio-kai-kupriako/,2024-10-16,19:02:00,Newsroom,Σαμαράς από Κύπρο: Άδικες και καταστροφικές οι λύσεις που «μαγειρεύονται» για Αιγαίο και Κυπριακό -Αιχμές γύρω από τον ελληνοτουρκικό διάλογο άφησε ο πρώην πρωθυπουργός,Πολιτικη & Οικονομια,2024-10-16
149,Φωτιά σε δασική έκταση στη Σκαλώτη Δράμας - Μεγάλη κινητοποίηση της Πυροσβεστικής,https://www.athensvoice.gr/epikairotita/ellada/872848/fotia-se-dasiki-ektasi-sti-skaloti-dramas-megali-kinitopoiisi-tis-purosvestikis/,2024-10-16,15:00:00,Newsroom,Φωτιά σε δασική έκταση στη Σκαλώτη Δράμας - Μεγάλη κινητοποίηση της Πυροσβεστικής,Ελλαδα,2024-10-16
150,Δολοφονήθηκε ο διάσημος φωτογράφος Πολ Λόου - Βασικός ύποπτος ο γιος του,https://www.athensvoice.gr/epikairotita/diethni/872692/dolofonithike-o-diasimos-fotografos-pol-loou-vasikos-upoptos-o-gios-tou/,2024-10-16,07:20:00,Newsroom,Πολ Λόου: Θύμα δολοφονίας ο διάσημος Βρετανός φωτογράφος - Βασικός ύποπτος για το έγκλημα ο 19χρονος γιος του,Κοσμος,2024-10-16
151,Bird Photographer of the Year 2024: Οι εικόνες που ξεχώρισαν αφηγούνται μια ολόκληρη ιστορία,https://www.athensvoice.gr/politismos/fotografia/869744/bird-photographer-of-the-year-2024-oi-eikones-pou-xehorisan/,2024-10-15,15:24:00,Γεωργία Ζερβογιάννη,Bird Photographer of the Year 2024: Οι νικητήριες εικόνες,Φωτογραφια,2024-10-15
152,Αθώος για παιδοβιασμό βασικός ύποπτος για την εξαφάνιση της Μαντλίν ΜακΚάν,https://www.athensvoice.gr/epikairotita/diethni/871457/athoos-gia-paidoviasmous-vasikos-upoptos-gia-tin-exafanisi-tis-madlin-makkan/,2024-10-08,09:47:00,Newsroom,Εξαφάνιση Μαντλίν ΜακΚάν: Αθώος για παιδοβιασμό ο Κρίστιαν Μπρίκνερ,Κοσμος,2024-10-08
