title,article_url,date,time,section,excerpt,author
"ΟΗΕ: Το 2024, η κλιματική αλλαγή προκάλεσε ακραίες μετεωρολογικές συνθήκες",https://www.kathimerini.gr/world/563396869/oie-to-2024-i-klimatiki-allagi-prokalese-akraies-meteorologikes-synthikes/,2024-12-30,,ΚΟΣΜΟΣ,"Σύμφωνα με τον Παγκόσμιο Μετεωρολογικό Οργανισμό, το 2024 θα είναι η θερμότερη χρονιά που έχει καταγραφεί ποτέ, ενώ οι εκπομπές αερίων του θερμοκηπίου ανήλθαν σε νέα επίπεδα ρεκόρ.",
"«Ζούμε σε μια νέα, επικίνδυνη εποχή» – Η υπερθέρμανση του πλανήτη επιδείνωσε τις φυσικές καταστροφές το 2024",https://www.kathimerini.gr/life/environment/563392801/zoyme-se-mia-nea-epikindyni-epochi-i-yperthermansi-toy-planiti-epideinose-tis-fysikes-katastrofes-to-2024/,2024-12-27,,ΠΕΡΙΒΑΛΛΟΝ,"Το 2024, η πιο ζεστή χρονιά που έχει καταγραφεί ποτέ, παρατηρήθηκαν ρεκόρ υψηλών θερμοκρασιών, τόσο στον αέρα όσο και στην επιφάνεια των θαλασσών, και αυτή η ζέστη χρησίμευσε ως καύσιμο για να ενισχύσει τους κυκλώνες, τα κύματα καύσωνα και άλλα ακραία καιρικά φαινόμενα σε όλο τον κόσμο.",
Ερευνα: Οι 14 μεγάλες πυρκαγιές του 2024,https://www.kathimerini.gr/life/environment/563378623/ereyna-meteo-oi-14-megales-pyrkagies-toy-2024/,2024-12-17,,ΠΕΡΙΒΑΛΛΟΝ,"Στην έκθεση του Αστεροσκοπείου και της WWF Ελλάς αποτυπώνεται η μεγάλη αύξηση των πυρκαγιών που έκαψαν 450.000 στρέμματα, ενώ επλήγησαν και 11 προστατευόμενες περιοχές, εκ των οποίων οι 8 Natura.",
Πορτογαλία και Ισπανία έζησαν τον πιο ζεστό Νοέμβριο πολλών δεκαετιών,https://www.kathimerini.gr/world/563358376/portogalia-kai-ispania-ezisan-ton-pio-zesto-noemvrio-pollon-dekaetion/,2024-12-05,,ΚΟΣΜΟΣ,"Η μέση θερμοκρασία του Νοεμβρίου στην Πορτογαλία ήταν 15,14 βαθμοί, η υψηλότερη από το 1931, ενώ στην Ισπανία ήταν 12,4 βαθμοί, δηλαδή μισό βαθμό υψηλότερη από το τελευταίο ρεκόρ, το 1983.",
Δύο νέες πλατφόρμες για την ανάλυση του κλίματος,https://www.kathimerini.gr/society/563356729/dyo-nees-platformes-gia-tin-analysi-toy-klimatos/,2024-12-05,,ΚΟΙΝΩΝΙΑ,Δύο νέους ψηφιακούς κόμβους ανάλυσης της ατμόσφαιρας και του κλίματος αναπτύσσει η επιστημονική κοινότητα της χώρας.,
Τα μεγάλα στοιχήματα για την Αττική,https://www.kathimerini.gr/visual/infographics/563354953/ta-megala-stoichimata-gia-tin-attiki/,2024-12-04,,ΓΡΑΦΗΜΑΤΑ,Οι παρεμβάσεις της περιφέρειας και στους 66 δήμους έως το 2028.,
"Ερευνα: Η ατμοσφαιρική ρύπανση από τις πυρκαγιές συνδέεται με 1,5 εκατ. θανάτους ετησίως",https://www.kathimerini.gr/life/science/563344912/ereyna-i-atmosfairiki-rypansi-apo-tis-pyrkagies-syndeetai-me-1-5-ekat-thanatoys-etisios/,2024-11-28,,ΕΠΙΣΤΗΜΗ,Η έρευνα δημοσιεύτηκε στο επιστημονικό περιοδικό The Lancet και πραγματοποιήθηκε από το 2000 έως το 2019 και δημοσιεύθηκε σήμερα.,
Φολκέρ Τουρκ στην «Κ»: «Οι πολιτικές ελίτ αδιαφόρησαν»,https://www.kathimerini.gr/politics/563336191/folker-toyrk-stin-k-oi-politikes-elit-adiaforisan/,2024-11-23,,ΕΞΩΤΕΡΙΚΗ ΠΟΛΙΤΙΚΗ,Οι «χαμένοι» της παγκοσμιοποίησης και η μεγάλη άνοδος του λαϊκισμού.,
Η κλιματική αλλαγή έφερε δεκάδες ακραίους καύσωνες,https://www.kathimerini.gr/world/563329921/i-klimatiki-allagi-efere-dekades-akraioys-kaysones/,2024-11-19,,ΚΟΣΜΟΣ,"Εκατομμύρια άνθρωποι, μεταξύ των οποίων χιλιάδες νεογέννητα μωρά, δεν θα είχαν πεθάνει πρόωρα αν δεν υπήρχε η επιπλέον ανθρωπογενής θερμότητα στην ατμόσφαιρα.",
Ερρίκος Μοάτσος: Μεγάλο το κενό προστασίας από φυσικές καταστροφές,https://www.kathimerini.gr/economy/563327200/errikos-moatsos-megalo-to-keno-prostasias-apo-fysikes-katastrofes/,2024-11-25,,ΕΛΛΗΝΙΚΗ ΟΙΚΟΝΟΜΙΑ,Ασφαλιστική κάλυψη διαθέτουν μόλις το 18% των κατοικιών και το 40% των επιχειρήσεων.,
Απιαστος ο κλιματικός στόχος,https://www.kathimerini.gr/visual/infographics/563324167/apiastos-o-klimatikos-stochos/,2024-11-15,,ΓΡΑΦΗΜΑΤΑ,Ο πλανήτης υπερθερμαίνεται παρά την πρόοδο στη μείωση των εκπομπών.,
Ευθύμης Λέκκας: «Δεν έχουμε εικόνα τι συμβαίνει κάτω από τον μπαζωμένο Ιλισσό»,https://www.kathimerini.gr/society/reportaz/563323291/eythymis-lekkas-den-echoyme-eikona-ti-symvainei-kato-apo-ton-mpazomeno-ilisso/,2024-11-23,,ΠΕΡΙΒΑΛΛΟΝ,Ο καθηγητής Γεωλογίας και Διαχείρισης Φυσικών Καταστροφών χαρακτηρίζει τις πλημμύρες τον υπ’ αριθμόν ένα κίνδυνο για την Αθήνα.,
Κυρ. Μητσοτάκης: Το τρίπτυχο για την έγκαιρη προειδοποίηση των πολιτών στις φυσικές καταστροφές,https://www.kathimerini.gr/politics/563321557/kyr-mitsotakis-ta-metra-proeidopoiisis-gia-toys-kindynoys-poy-elave-i-ellada/,2024-11-13,,ΠΟΛΙΤΙΚΗ,"Στην αξιοποίηση των νέων τεχνολογιών, στη συγκρότηση του υπουργείου Κλιματικής Κρίσης & Πολιτικής Προστασίας, καθώς και στην οικοδόμηση σχέσεων εμπιστοσύνης με τους πολίτες, εστίασε μεταξύ άλλων ο πρωθυπουργός.",
Εποχικοί πυροσβέστες: «Είναι Νοέμβριος και έχουμε καθημερινά 50-60 πυρκαγιές»,https://www.kathimerini.gr/society/563311186/epochikoi-pyrosvestes-einai-noemvrios-kai-echoyme-kathimerina-50-60-pyrkagies/,2024-11-07,,ΚΟΙΝΩΝΙΑ,"Tην προκήρυξη νέου διαγωνισμού μετά τη λήξη των πενταετών συμβάσεων των εποχικών πυροσβεστών εξήγγειλε ο υπουργός Κλιματικής Κρίσης και Πολιτικής Προστασίας, Βασίλης Κικίλιας. Ωστόσο το κλίμα παραμένει τεταμένο, με τους εκπροσώπους των πυροσβεστών να δηλώνουν ότι οι ανάγκες πλέον «δεν είναι εποχικές».",
