,title,article_url,date,time,author,description
0,Φωτιά στη Φθιώτιδα - Επιχειρεί και ελικόπτερο,https://www.tovima.gr/2025/04/16/society/agrotodasiki-fotia-sti-fthiotida-megali-kinitopoiisi/,16.04.2025,14:51,,Κοντά σε πευκόφυτη περιοχή στον Λόγγο του Αγίου Κωνσταντίνου οι εστίες - Σε συναγερμό όλες οι δυνάμεις της Πυροσβεστικής στον νομό
1,Κεφαλλονιά: Φωτιά σε δασική έκταση στη περιοχή Λιβάδι - Μήνυμα από το 112,https://www.tovima.gr/2025/04/27/society/kefallonia-fotia-se-dasiki-ektasi-sti-perioxi-livadi/,27.04.2025,15:02,,"Για την κατάσβεση της φωτιάς στην Κεφαλλονιά επιχειρούν 16 πυροσβέστες  με μία ομάδα πεζοπόρου της 16ης ΕΜΟΔΕ, τέσσερα οχήματα και ένα ελικόπτερο."
2,Φωτιά σε αγροτοδασική έκταση στα Χανιά - Μήνυμα 112,https://www.tovima.gr/2025/03/13/society/fotia-se-agrotodasiki-ektasi-sta-xania-minyma-112/,13.03.2025,08:23,,"Για την κατάσβεση της φωτιά στα Χανιά επιχειρούν ισχυρές δυνάμεις της Πυροσβεστικής Υπηρεσίας, με 30 πυροσβέστες μία ομάδα πεζοπόρου της 3ης ΕΜΟΔΕ, 10 οχήματα και μια Ε/Π."
3,Ξάνθη: Φωτιά σε δασική έκταση - Επιχειρούν ενάερια μέσα,https://www.tovima.gr/2024/09/28/society/ksanthi-fotia-se-dasiki-ektasi-epixeiroun-enaeria-mesa/,28.09.2024,16:08,,Μάχη με τις φλόγες της φωτιάς σε δασική έκταση στην Ξάνθη. Επί ποδός η πυροσβεστική με πεζοπόρα και εναέρια μέσα.
4,Φωτιά τώρα στη Φθιώτιδα - Καίγεται δασική έκταση,https://www.tovima.gr/2024/09/01/society/fotia-tora-sti-fthiotida-kaigetai-dasiki-ektasi/,01.09.2024,18:12,,Φωτιά τώρα ξέσπασε στη Φθιώτιδα - Καίγεται δασική έκταση - Σπεύδουν εναέρια μέσα.
5,Φωτιά σε δασική έκταση στην περιοχή Σπαθάρης Αρκαδίας,https://www.tovima.gr/2024/08/18/society/fotia-se-dasiki-ektasi-stin-perioxi-spatharis-arkadias/,18.08.2024,17:08,,"Για την κατάσβεση της φωτιάς επιχειρούν 34 πυροσβεστες με 1 ομάδα πεζοπόρου της 9ης ΕΜΟΔΕ, 11 οχήματα, 7 Α/Φ και 2 Ε/Π."
6,Φωτιά στη Δράμα - Καίει δασική περιοχή,https://www.tovima.gr/2024/07/18/society/fotia-sti-drama-kaiei-dasiki-perioxi/,18.07.2024,11:49,,"Στο σημείο βρίσκονται ισχυρές δυνάμεις της πυροσβεστικής, ωστόσο η φωτιά καίει σε δύσβατο σημείο."
7,Φωτιά σε δασική έκταση στα Ιωάννινα,https://www.tovima.gr/2024/07/15/society/fotia-se-dasiki-ektasi-sta-ioannina/,15.07.2024,16:25,,"Η φωτιά προκλήθηκε υπό αδιευκρίνιστες μέχρι στιγμής συνθήκες στην περιοχή Σερζιανά, στα Ιωάννινα, πάνω σε έναν λοφίσκο."
8,Αγρίνιο: Φωτιά σε δασική έκταση στην περιοχή Κρεμαστά,https://www.tovima.gr/2024/07/13/society/agrinio-fotia-se-dasiki-ektasi-stin-perioxi-kremasta/,13.07.2024,21:08,,Επιχειρούν 40 πυροσβέστες με μία ομάδα πεζοπόρου και τέσσερα εναέρια μέσα.
9,Φωτιά τώρα στη Λέσβο – Καίει δασική έκταση στην Πέτρα,https://www.tovima.gr/2024/07/07/society/fotia-tora-sti-lesvo-kaiei-dasiki-ektasi-stin-petra/,07.07.2024,13:12,,"Συναγερμός στην Πυροσβεστική για την φωτιά που ξέσπασε το μεσημέρι της Κυριακής στη περιοχή Πέτρα, στη Λέσβο"
10,Ναυπακτία: Φωτιά σε δασική έκταση στην περιοχή της Τερψιθέας,https://www.tovima.gr/2024/07/06/society/naypaktia-fotia-se-dasiki-ektasi-stin-perioxi-tis-terpsitheas/,06.07.2024,18:02,,Η φωτιά ξεκίνησε από μια παλιά χωματερή της περιοχής.
11,Μεγάλη φωτιά στο Σουφλί Εβρου - Αμεση κινητοποίηση για την κατάσβεση,https://www.tovima.gr/2024/06/30/society/evros-fotia-sto-soufli-kaei-agrotodasiki-ektasi-amesi-kinitopoiisi/,30.06.2024,11:43,,"Στο Σουφλί, στον Εβρο όπου ξέσπασε η φωτιά έχουν έχουν σταλεί 9 πυροσβεστικά οχήματα, 3 αεροσκάφη και ένα ελικόπτερο για να συμβάλλουν στην κατάσβεση της πυρκαγιάς."
12,Φωτιά στην Πάρνηθα: Μεγάλη δασική πυρκαγιά στην περιοχή Κατσιμίδι,https://www.tovima.gr/2024/06/29/society/fotia-stin-parnitha-se-dasiki-ektasi-stin-perioxi-katsimidi/,29.06.2024,15:13,,Η φωτιά στην Πάρνηθα είναι δασική και έχει εκδηλωθεί στην περιοχή Κατσιμίδι - Συναγερμός στην πυροσβεστική
13,Φωτιά τώρα στις Σέρρες – Καίει δασική έκταση,https://www.tovima.gr/2024/06/28/society/fotia-tora-stis-serres-kaiei-dasiki-ektasi/,28.06.2024,14:06,,"Η φωτιά καίει δασική έκταση, στο Όρος Κρούσια, του δήμου Σιντίκης Σερρών."
14,Φωτιά στην Κάρυστο - Καίει δασική έκταση,https://www.tovima.gr/2024/06/25/society/fotia-stin-karysto-kaiei-dasiki-ektasi-2/,25.06.2024,13:59,,Το μεσημέρι της Τρίτης ξέσπασε φωτιά στην περιοχή Παξιμάδα στην Κάρυστο - Στο σημείο ισχυρές δυνάμεις της πυροσβεστικής.
